OperatingTime	UID	RequestURI
19:29:27	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=api&url=http%3A%2F%2Fwww.hadsky.com%2Findex.php%3Fc%3Dapp%26a%3Dzhanzhang%3Aindex3%26s%3Dgetnotice
19:29:28	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set
19:29:31	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set&t=div
19:29:32	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set&t=embed
19:29:33	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set&t=show
19:29:40	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set&t=post
19:29:41	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set&t=reg
19:29:46	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set&t=seo
19:29:48	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set&t=integral
19:29:49	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=set&t=upload
19:29:50	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=forum
19:29:52	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=user
19:29:54	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=template
19:29:57	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=app
19:30:00	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=home
19:30:00	1	http://localhost/hadsky3 publish/upload/index.php?c=app&a=superadmin:index&s=api&url=http%3A%2F%2Fwww.hadsky.com%2Findex.php%3Fc%3Dapp%26a%3Dzhanzhang%3Aindex3%26s%3Dgetnotice
